CustomerKey,GeographyKey,CustomerAlternateKey,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,SpanishEducation,FrenchEducation,EnglishOccupation,SpanishOccupation,FrenchOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance
11000,26,AW00011000,,Jon,V,Yang,0,1966-04-08 00:00:00,M,,M,jon24@adventure-works.com,90000,2,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,0,3761 N. 14th St,,1 (11) 500 555-0162,2001-07-22 00:00:00,1-2 Miles
11001,37,AW00011001,,Eugene,L,Huang,0,1965-05-14 00:00:00,S,,M,eugene10@adventure-works.com,60000,3,3,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,2243 W St.,,1 (11) 500 555-0110,2001-07-18 00:00:00,0-1 Miles
11002,31,AW00011002,,Ruben,,Torres,0,1965-08-12 00:00:00,M,,M,ruben35@adventure-works.com,60000,3,3,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,5844 Linden Land,,1 (11) 500 555-0184,2001-07-10 00:00:00,2-5 Miles
11003,11,AW00011003,,Christy,,Zhu,0,1968-02-15 00:00:00,S,,F,christy12@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,1825 Village Pl.,,1 (11) 500 555-0162,2001-07-01 00:00:00,5-10 Miles
11004,19,AW00011004,,Elizabeth,,Johnson,0,1968-08-08 00:00:00,S,,F,elizabeth5@adventure-works.com,80000,5,5,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,4,7553 Harness Circle,,1 (11) 500 555-0131,2001-07-26 00:00:00,1-2 Miles
11005,22,AW00011005,,Julio,,Ruiz,0,1965-08-05 00:00:00,S,,M,julio1@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,7305 Humphrey Drive,,1 (11) 500 555-0151,2001-07-02 00:00:00,5-10 Miles
11006,8,AW00011006,,Janet,G,Alvarez,0,1965-12-06 00:00:00,S,,F,janet9@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,2612 Berry Dr,,1 (11) 500 555-0184,2001-07-27 00:00:00,5-10 Miles
11007,40,AW00011007,,Marco,,Mehta,0,1964-05-09 00:00:00,M,,M,marco14@adventure-works.com,60000,3,3,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,2,942 Brook Street,,1 (11) 500 555-0126,2001-07-12 00:00:00,0-1 Miles
11008,32,AW00011008,,Rob,,Verhoff,0,1964-07-07 00:00:00,S,,F,rob4@adventure-works.com,60000,4,4,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,3,624 Peabody Road,,1 (11) 500 555-0164,2001-07-28 00:00:00,10+ Miles
11009,25,AW00011009,,Shannon,C,Carlson,0,1964-04-01 00:00:00,S,,M,shannon38@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,3839 Northgate Road,,1 (11) 500 555-0110,2001-07-30 00:00:00,5-10 Miles
11010,22,AW00011010,,Jacquelyn,C,Suarez,0,1964-02-06 00:00:00,S,,F,jacquelyn20@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,7800 Corrinne Court,,1 (11) 500 555-0169,2001-07-17 00:00:00,5-10 Miles
11011,22,AW00011011,,Curtis,,Lu,0,1963-11-04 00:00:00,M,,M,curtis9@adventure-works.com,60000,4,4,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,4,1224 Shoenic,,1 (11) 500 555-0117,2001-07-02 00:00:00,10+ Miles
11012,611,AW00011012,,Lauren,M,Walker,0,1968-01-18 00:00:00,M,,F,lauren41@adventure-works.com,100000,2,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,4785 Scott Street,,717-555-0164,2003-09-17 00:00:00,1-2 Miles
11013,543,AW00011013,,Ian,M,Jenkins,0,1968-08-06 00:00:00,M,,M,ian47@adventure-works.com,100000,2,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,7902 Hudson Ave.,,817-555-0185,2003-10-15 00:00:00,0-1 Miles
11014,634,AW00011014,,Sydney,,Bennett,0,1968-05-09 00:00:00,S,,F,sydney23@adventure-works.com,100000,3,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,3,9011 Tank Drive,,431-555-0156,2003-09-24 00:00:00,1-2 Miles
11015,301,AW00011015,,Chloe,,Young,0,1979-02-27 00:00:00,S,,F,chloe23@adventure-works.com,30000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,244 Willow Pass Road,,208-555-0142,2003-07-22 00:00:00,5-10 Miles
11016,329,AW00011016,,Wyatt,L,Hill,0,1979-04-28 00:00:00,M,,M,wyatt32@adventure-works.com,30000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,9666 Northridge Ct.,,135-555-0171,2003-08-13 00:00:00,5-10 Miles
11017,39,AW00011017,,Shannon,,Wang,0,1944-06-26 00:00:00,S,,F,shannon1@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,7330 Saddlehill Lane,,1 (11) 500 555-0195,2001-07-15 00:00:00,5-10 Miles
11018,32,AW00011018,,Clarence,D,Rai,0,1944-10-09 00:00:00,S,,M,clarence32@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,244 Rivewview,,1 (11) 500 555-0137,2001-07-20 00:00:00,5-10 Miles
11019,52,AW00011019,,Luke,L,Lal,0,1978-03-07 00:00:00,S,,M,luke18@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,7832 Landing Dr,,262-555-0112,2003-08-16 00:00:00,5-10 Miles
11020,53,AW00011020,,Jordan,C,King,0,1978-09-20 00:00:00,S,,M,jordan73@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,7156 Rose Dr.,,550-555-0163,2003-07-02 00:00:00,1-2 Miles
11021,536,AW00011021,,Destiny,,Wilson,0,1978-09-03 00:00:00,S,,F,destiny7@adventure-works.com,40000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,0,1,8148 W. Lake Dr.,,622-555-0158,2003-07-27 00:00:00,1-2 Miles
11022,609,AW00011022,,Ethan,G,Zhang,0,1978-10-12 00:00:00,M,,M,ethan20@adventure-works.com,40000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,1769 Nicholas Drive,,589-555-0185,2003-07-24 00:00:00,5-10 Miles
11023,298,AW00011023,,Seth,M,Edwards,0,1978-10-11 00:00:00,M,,M,seth46@adventure-works.com,40000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,4499 Valley Crest,,452-555-0188,2003-08-21 00:00:00,1-2 Miles
11024,311,AW00011024,,Russell,,Xie,0,1978-09-17 00:00:00,M,,M,russell7@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,8734 Oxford Place,,746-555-0186,2003-12-29 00:00:00,5-10 Miles
11025,24,AW00011025,,Alejandro,,Beck,0,1945-12-23 00:00:00,M,,M,alejandro45@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,2596 Franklin Canyon Road,,1 (11) 500 555-0178,2001-07-09 00:00:00,1-2 Miles
11026,4,AW00011026,,Harold,,Sai,0,1946-04-03 00:00:00,S,,M,harold3@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,0,2,8211 Leeds Ct.,,1 (11) 500 555-0131,2001-07-26 00:00:00,1-2 Miles
11027,40,AW00011027,,Jessie,R,Zhao,0,1946-12-07 00:00:00,M,,M,jessie16@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,213 Valencia Place,,1 (11) 500 555-0184,2001-07-19 00:00:00,5-10 Miles
11028,17,AW00011028,,Jill,,Jimenez,0,1946-04-11 00:00:00,M,,F,jill13@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,9111 Rose Ann Ave,,1 (11) 500 555-0116,2001-07-29 00:00:00,1-2 Miles
11029,32,AW00011029,,Jimmy,L,Moreno,0,1946-12-21 00:00:00,M,,M,jimmy9@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,6385 Mark Twain,,1 (11) 500 555-0146,2001-07-22 00:00:00,1-2 Miles
